acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,genre
0.194,https://api.spotify.com/v1/audio-analysis/1RSzyxqtIO4yX3EyiV4zT5,0.714,123480,0.609,1RSzyxqtIO4yX3EyiV4zT5,0.0,3,0.126,-7.683,0,0.17,140.206,4,https://api.spotify.com/v1/tracks/1RSzyxqtIO4yX3EyiV4zT5,audio_features,spotify:track:1RSzyxqtIO4yX3EyiV4zT5,0.778,Hip-Hop
0.00494,https://api.spotify.com/v1/audio-analysis/20m8ZHA6Jevqo1xnhQffQu,0.733,191353,0.743,20m8ZHA6Jevqo1xnhQffQu,0.0,2,0.261,-5.045,1,0.371,150.024,4,https://api.spotify.com/v1/tracks/20m8ZHA6Jevqo1xnhQffQu,audio_features,spotify:track:20m8ZHA6Jevqo1xnhQffQu,0.623,Hip-Hop
0.317,https://api.spotify.com/v1/audio-analysis/7E2C5rBLpCKwQlhJPVFBRS,0.575,226220,0.609,7E2C5rBLpCKwQlhJPVFBRS,0.0,5,0.105,-4.88,0,0.121,83.004,4,https://api.spotify.com/v1/tracks/7E2C5rBLpCKwQlhJPVFBRS,audio_features,spotify:track:7E2C5rBLpCKwQlhJPVFBRS,0.339,Hip-Hop
0.605,https://api.spotify.com/v1/audio-analysis/3uVPLtkmDu8pDkYEAVqbgS,0.703,183783,0.703,3uVPLtkmDu8pDkYEAVqbgS,0.0,1,0.12,-4.672,1,0.133,76.017,4,https://api.spotify.com/v1/tracks/3uVPLtkmDu8pDkYEAVqbgS,audio_features,spotify:track:3uVPLtkmDu8pDkYEAVqbgS,0.697,Hip-Hop
0.0182,https://api.spotify.com/v1/audio-analysis/1ylymaTbSjggG7TaItdRkI,0.734,151030,0.563,1ylymaTbSjggG7TaItdRkI,0.0,0,0.0981,-6.464,1,0.314,203.905,4,https://api.spotify.com/v1/tracks/1ylymaTbSjggG7TaItdRkI,audio_features,spotify:track:1ylymaTbSjggG7TaItdRkI,0.371,Hip-Hop
0.0331,https://api.spotify.com/v1/audio-analysis/1U6Qqq2JQzOWoHYqtG7pYO,0.853,145121,0.502,1U6Qqq2JQzOWoHYqtG7pYO,0.0,1,0.144,-7.187,1,0.105,129.02,4,https://api.spotify.com/v1/tracks/1U6Qqq2JQzOWoHYqtG7pYO,audio_features,spotify:track:1U6Qqq2JQzOWoHYqtG7pYO,0.3,Hip-Hop
0.131,https://api.spotify.com/v1/audio-analysis/5OtK4qowbxqNC2dueZR3ju,0.806,188560,0.718,5OtK4qowbxqNC2dueZR3ju,0.0,2,0.398,-4.213,0,0.0898,98.526,4,https://api.spotify.com/v1/tracks/5OtK4qowbxqNC2dueZR3ju,audio_features,spotify:track:5OtK4qowbxqNC2dueZR3ju,0.586,Hip-Hop
0.0239,https://api.spotify.com/v1/audio-analysis/4Z5FyQlevoHoa5FsIVKZju,0.849,122587,0.536,4Z5FyQlevoHoa5FsIVKZju,0.0,1,0.126,-7.307,1,0.349,141.964,4,https://api.spotify.com/v1/tracks/4Z5FyQlevoHoa5FsIVKZju,audio_features,spotify:track:4Z5FyQlevoHoa5FsIVKZju,0.308,Hip-Hop
0.0383,https://api.spotify.com/v1/audio-analysis/13EW51DKru044OJDJ9Bm8o,0.779,153147,0.642,13EW51DKru044OJDJ9Bm8o,0.0,8,0.2,-6.321,0,0.116,82.363,4,https://api.spotify.com/v1/tracks/13EW51DKru044OJDJ9Bm8o,audio_features,spotify:track:13EW51DKru044OJDJ9Bm8o,0.388,Hip-Hop
0.168,https://api.spotify.com/v1/audio-analysis/5sBplhIrmzA4kQGyIOpmDf,0.832,181496,0.549,5sBplhIrmzA4kQGyIOpmDf,0.0,1,0.11,-8.259,0,0.0602,140.045,4,https://api.spotify.com/v1/tracks/5sBplhIrmzA4kQGyIOpmDf,audio_features,spotify:track:5sBplhIrmzA4kQGyIOpmDf,0.384,Hip-Hop
0.0166,https://api.spotify.com/v1/audio-analysis/0A1hoCfMLkiAgvhWkkucJa,0.914,171067,0.732,0A1hoCfMLkiAgvhWkkucJa,0.0,8,0.107,-6.1,0,0.241,94.066,4,https://api.spotify.com/v1/tracks/0A1hoCfMLkiAgvhWkkucJa,audio_features,spotify:track:0A1hoCfMLkiAgvhWkkucJa,0.469,Hip-Hop
0.0358,https://api.spotify.com/v1/audio-analysis/0E72UaOjGEOHJliDjq6Ivw,0.741,198307,0.537,0E72UaOjGEOHJliDjq6Ivw,0.0,1,0.146,-6.797,1,0.143,80.454,4,https://api.spotify.com/v1/tracks/0E72UaOjGEOHJliDjq6Ivw,audio_features,spotify:track:0E72UaOjGEOHJliDjq6Ivw,0.233,Hip-Hop
0.12,https://api.spotify.com/v1/audio-analysis/5n6gBhdEjCuj3obgCoTEFD,0.94,228796,0.532,5n6gBhdEjCuj3obgCoTEFD,0.0,11,0.0925,-5.998,0,0.358,123.043,4,https://api.spotify.com/v1/tracks/5n6gBhdEjCuj3obgCoTEFD,audio_features,spotify:track:5n6gBhdEjCuj3obgCoTEFD,0.599,Hip-Hop
0.153,https://api.spotify.com/v1/audio-analysis/3bAzFi7wGuOXJdgOYyFDSW,0.848,195649,0.457,3bAzFi7wGuOXJdgOYyFDSW,0.0,0,0.115,-10.118,1,0.293,100.018,4,https://api.spotify.com/v1/tracks/3bAzFi7wGuOXJdgOYyFDSW,audio_features,spotify:track:3bAzFi7wGuOXJdgOYyFDSW,0.227,Hip-Hop
0.146,https://api.spotify.com/v1/audio-analysis/7v96VvFLS0wSYT8kewNLRy,0.868,182857,0.638,7v96VvFLS0wSYT8kewNLRy,0.0565,2,0.0931,-7.746,1,0.0736,126.03,4,https://api.spotify.com/v1/tracks/7v96VvFLS0wSYT8kewNLRy,audio_features,spotify:track:7v96VvFLS0wSYT8kewNLRy,0.459,Hip-Hop
0.118,https://api.spotify.com/v1/audio-analysis/3ReXNYlMVXMae28nMUegY0,0.903,178286,0.586,3ReXNYlMVXMae28nMUegY0,0.0,7,0.0931,-6.593,0,0.302,140.088,4,https://api.spotify.com/v1/tracks/3ReXNYlMVXMae28nMUegY0,audio_features,spotify:track:3ReXNYlMVXMae28nMUegY0,0.738,Hip-Hop
0.0614,https://api.spotify.com/v1/audio-analysis/7o4gBbTM6UBLkOYPw9xMCz,0.928,170233,0.341,7o4gBbTM6UBLkOYPw9xMCz,0.0,11,0.162,-10.196,0,0.103,129.966,4,https://api.spotify.com/v1/tracks/7o4gBbTM6UBLkOYPw9xMCz,audio_features,spotify:track:7o4gBbTM6UBLkOYPw9xMCz,0.745,Hip-Hop
